Country Name;Country Code;Indicator Name;Indicator Code;A1960;A1961;A1962;A1963;A1964;A1965;A1966;A1967;A1968;A1969;A1970;A1971;A1972;A1973;A1974;A1975;A1976;A1977;A1978;A1979;A1980;A1981;A1982;A1983;A1984;A1985;A1986;A1987;A1988;A1989;A1990;A1991;A1992;A1993;A1994;A1995;A1996;A1997;A1998;A1999;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015;A2016;A2017;A2018;A2019;A2020;A2021;A2022;A2023; 1960-1999 ; 2000-2023 ; SOMME_TOTAL ; TOT_DECES_GARCONS ; TOT_DECES_FILLE ;AGE_MOYEN;TAUX_PAUVRETE;TAUX_ACCES_SOIN_PRENATAUX ;TAUX_ACCOUCHEMTS_ASSITES;TAUX_ALPHABETISATION_FEMME;DEPENSES_SANTE_PAR_HABITANT;TAUX_VACC_NEO_BCG;INDICE_DEV_HUMAIN;TAUX_ACCES_EAU_POTABLE;TAUX_NATALITE
Arménie;ARM;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2026;2051;2060;2075;2088;2133;2155;2124;2068;2013;2018;1903;1955;1850;1692;1422;1234;1089;989;894;795;715;635;581;549;531;516;496;425;427;419;432;399;381;387;367;365;320;300;267;247;227;207;189;174;0;37 349;8 841;46 190;9 238;36 952;44;75;47;14;32;340;30;42;24;57
Samoa américaines;ASM;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;55;8;61;0;25;15;17;64;86;71
Antigua-et-Barbuda;ATG;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;24;22;20;18;18;17;15;15;13;11;10;10;10;10;9;10;10;10;11;10;11;11;12;14;15;15;14;13;15;13;13;12;11;11;10;10;11;10;9;9;8;7;7;7;6;6;6;6;6;6;6;0;378;205;583;117;466;57;15;13;5;27;188;2;96;81;64
Australie;AUS;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;3165;3224;3433;3290;2980;2716;2419;2186;2003;1827;1683;1588;1561;1522;1481;1389;1398;1333;1282;1240;1210;1209;1141;1111;1051;1000;957;924;900;885;878;874;857;856;844;841;857;862;895;892;856;826;789;773;745;713;715;721;727;749;719;700;704;704;0;52 986;18 219;71 205;14 241;56 964;39;67;26;4;24;208;11;94;35;13
Autriche;AUT;Nombre de décès néonataux;SH.DTH.NMRT;2982;2988;2923;2861;2757;2621;2531;2446;2379;2277;2122;2038;1917;1736;1602;1396;1161;1004;893;826;805;782;747;673;624;573;528;487;456;429;413;408;395;373;345;316;299;273;256;242;239;231;234;228;228;220;213;203;201;194;194;190;187;185;186;189;194;193;188;185;180;178;172;0;50 884;4 612;55 496;5 550;49 946;33;64;45;8;1;304;1;92;74;38
Azerbaïdjan;AZE;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6314;6375;6354;6523;6604;6599;6594;6726;6780;6745;6634;6446;6165;5840;5491;5195;4875;4553;4309;4185;4130;4043;4013;3991;3957;3884;3726;3574;3345;3092;2818;2501;2169;1746;1574;1528;1312;1203;1124;0;101 385;71 652;173 037;17 304;155 733;42;80;62;10;28;277;19;91;67;33
Burundi;BDI;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;7460;7623;7891;8074;8304;8409;8602;8917;8296;8501;8823;8967;9120;9322;9572;9581;10314;10114;10129;9975;9932;9848;9876;9999;10100;10220;10332;10409;10869;8298;10402;10350;9675;9518;9783;9953;10102;10441;10680;11039;11360;11528;11617;11671;11831;12078;11823;11490;11240;10952;10668;10012;9604;9287;9212;9069;8902;8722;0;327 605;243 281;570 886;57 089;513 797;36;71;10;16;38;197;11;45;53;37
Belgique;BEL;Nombre de décès néonataux;SH.DTH.NMRT;0;2991;2783;2723;2678;2562;2451;2304;2139;2049;1973;1891;1769;1633;1493;1348;1250;1149;1060;991;933;881;815;750;699;657;641;618;602;581;565;547;521;486;453;435;422;402;376;357;346;330;315;311;315;315;314;311;310;302;299;289;286;281;281;277;278;275;272;267;262;261;258;0;48 978;6 755;55 733;5 573;50 160;44;16;56;10;9;12;39;44;17;16
Bénin;BEN;Nombre de décès néonataux;SH.DTH.NMRT;7261;7462;7597;7723;7834;7924;7998;8039;8107;8173;8242;8324;8403;8459;8528;8612;8708;8800;8867;9056;9260;9443;9559;9652;9799;9929;10072;10210;10323;10358;10469;10562;10617;10741;11400;11159;11140;11213;11285;11348;11347;11390;11473;11636;11751;11849;12098;12180;12263;12437;12575;12763;12962;13177;13411;13572;13755;13905;13942;13943;13896;13853;13786;0;372 656;293 964;666 620;66 662;599 958;48;81;48;9;3;48;37;32;15;5
Burkina Faso;BFA;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;18964;19347;19694;19995;20185;20253;20207;20245;20319;20382;20430;20516;20580;20612;20656;20588;20250;19891;19555;19410;19465;19652;19857;20071;20339;20628;20933;21142;21327;21525;21690;21738;21799;21950;21922;21888;21900;21771;21656;21526;21535;21512;21522;21441;21277;21032;20723;20336;20142;19983;19813;19721;19532;0;607 018;486 409;1 093 427;109 343;984 084;55;10;40;1;29;68;19;52;74;57
Bangladesh;BGD;Nombre de décès néonataux;SH.DTH.NMRT;258508;262473;265973;267239;268661;270532;274132;280408;287173;295280;305531;316543;313353;318357;324612;328634;334519;338588;339443;340945;339515;337309;333270;321586;312571;302873;291118;280483;268156;259373;247650;233444;221537;211721;206181;196253;188585;185638;178975;172143;166002;159434;152879;145914;138712;130031;122474;115566;108194;100696;93829;87755;83454;80282;76563;72826;69905;65412;62661;59959;56931;54501;51988;0;11 079 285;2 255 968;13 335 253;10 668 202;2 667 051;43;71;49;1;37;211;20;82;2;18
Bulgarie;BGR;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;1886;1844;1859;2062;2043;1931;1867;1844;1974;2068;1941;1839;1699;1564;1480;1361;1268;1206;1138;1078;1009;972;908;887;870;860;816;788;753;695;622;601;538;540;576;569;522;498;475;463;441;430;420;420;425;398;365;336;307;293;273;255;236;216;199;181;166;153;0;45 387;8 041;53 428;42 742;10 686;39;0;37;16;12;47;16;16;33;70
Bahreïn;BHR;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;243;233;224;217;212;210;208;205;201;199;201;205;208;215;219;219;219;220;214;203;190;173;150;129;110;95;84;76;69;63;62;62;62;62;60;59;59;59;62;62;63;65;67;69;67;65;63;59;55;50;47;0;5 282;1 411;6 693;5 354;1 339;40;1;3;4;0;215;15;99;9;2
Bahamas;BHS;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;110;112;114;114;113;108;109;108;104;101;98;96;96;96;96;97;96;94;90;88;86;84;85;78;67;63;56;53;50;46;45;47;46;46;48;51;46;47;50;50;45;42;42;36;41;39;38;37;37;38;37;37;36;0;2 708;981;3 689;2 951;738;38;49;90;6;49;338;5;80;69;17
Bosnie-Herzégovine;BIH;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1049;944;865;800;756;730;734;555;429;364;368;397;366;309;278;256;245;233;222;207;196;199;195;191;180;164;165;156;150;147;145;143;141;134;128;122;117;0;8 666;4 114;12 780;5 751;7 029;39;5;87;1;14;283;15;54;78;80
Bélarus;BLR;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1463;1345;1291;1187;1102;993;905;791;723;616;512;424;364;335;319;303;284;266;241;225;200;192;200;202;198;190;174;142;116;100;87;77;71;0;10 416;5 222;15 638;7 037;8 601;45;23;20;20;13;202;1;23;68;17
Belize;BLZ;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;159;161;162;163;163;163;163;165;166;166;164;162;159;158;153;147;141;137;132;129;127;124;117;110;104;97;95;92;91;90;89;87;85;83;80;76;74;71;69;70;72;75;79;82;84;84;82;80;78;77;69;64;63;61;0;4 249;1 745;5 994;2 098;3 896;59;53;25;10;22;66;18;63;18;7
Bermudes;BMU;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;72;54;17;1;8;57;19;1;0;7
Bolivie;BOL;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;12864;12683;12490;12296;12177;12073;12021;11976;11865;11775;11678;11566;11448;11349;11287;11235;11191;11148;11071;10959;10868;10746;10600;10425;10203;9974;9722;9431;9136;8843;8452;8126;7859;7544;7267;7104;7002;6892;6781;6718;6522;6295;6047;5799;5535;5286;5006;4721;4471;4257;4067;3896;3740;3602;3470;3343;0;359 537;125 365;484 902;169 716;315 186;65;65;50;1;49;257;15;21;53;38
Brésil;BRA;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;167269;165646;163965;161817;159806;158620;157909;156680;155386;154213;151487;150191;148991;147337;145715;143585;141318;138496;135058;131240;127138;122829;118117;114143;109633;105628;101262;97166;92657;89754;86555;83894;80629;77649;74606;70815;66018;61376;56577;51872;48847;45833;42611;39691;37167;35325;33692;32316;30705;29476;29000;28519;28967;26964;26827;25836;24671;24067;23338;0;4 587 204;849 695;5 436 899;3 533 984;1 902 915;61;53;54;12;44;86;31;14;41;73
Barbade;BRB;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;152;140;130;123;117;112;106;99;93;89;84;80;76;73;70;67;65;62;59;55;51;47;44;41;39;37;36;35;34;34;33;33;33;34;34;35;35;35;34;34;33;32;31;30;29;28;27;26;26;25;24;23;22;22;0;2 283;685;2 968;1 929;1 039;63;66;28;6;47;194;4;34;85;38
Brunéi Darussalam;BRN;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;42;42;40;38;36;34;33;32;31;31;31;32;32;31;31;31;31;31;32;33;34;34;34;35;35;35;34;34;33;32;31;31;0;370;748;1 118;727;391;69;54;80;8;39;110;34;16;98;21
Bhoutan;BTN;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;881;861;825;717;673;633;601;566;536;507;480;455;434;410;407;392;371;355;337;316;298;279;262;246;230;215;195;175;157;142;135;130;125;0;6 800;6 546;13 346;3 870;9 476;60;22;72;8;25;36;24;93;44;62
Botswana;BWA;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;1068;1045;1023;1002;986;978;991;1019;1057;1096;1136;1168;1204;1235;1266;1291;1299;1289;1272;1243;1207;1145;1073;999;917;835;768;706;641;571;511;473;460;468;503;564;643;747;880;1037;1167;1268;1344;1394;1423;1436;1440;1429;1414;1399;1386;1367;1348;1319;1272;1237;1199;0;33 442;27 216;60 658;17 591;43 067;58;23;7;0;20;174;28;48;53;59
République centrafricaine;CAF;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;5404;5394;5405;5409;5481;5537;5614;5701;5777;5878;5975;6085;6207;6327;6428;6530;6553;6610;6711;6793;6815;6864;6917;6993;6999;6972;6972;7000;7040;7042;7017;7104;7111;7151;7199;7185;7220;7265;7352;7399;7354;7226;7116;6860;6941;7085;7185;7271;7385;7570;7502;0;175 351;165 580;340 931;98 870;242 061;69;15;82;14;20;84;16;61;96;49
Canada;CAN;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;4827;4529;4119;3774;3496;3331;3195;3073;2873;2723;2558;2388;2272;2171;2093;1995;1909;1825;1807;1842;1857;1726;1664;1607;1578;1530;1453;1356;1299;1259;1214;1240;1258;1294;1305;1314;1337;1379;1404;1413;1400;1392;1392;1369;1362;1320;1296;1295;1272;1248;1264;1263;1253;0;72 129;30 284;102 413;39 941;62 472;61;10;30;6;4;311;30;42;84;55
Europe centrale et les pays baltes;CEB;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16271;15160;14108;13117;12181;10778;9787;8868;8015;7309;6829;6298;5955;5758;5574;5414;5147;4907;4838;4604;4251;3831;3645;3382;3308;3153;3072;2997;2838;2678;2565;2489;2444;0;115 594;95 977;211 571;82 513;129 058;49;4;21;7;21;281;10;83;96;13
Suisse;CHE;Nombre de décès néonataux;SH.DTH.NMRT;1536;1560;1591;1627;1625;1569;1482;1386;1286;1173;1067;956;852;766;692;605;533;484;444;419;403;381;367;347;337;327;325;323;330;326;320;315;313;295;286;280;281;274;271;269;268;247;244;239;239;237;236;238;243;246;248;247;248;247;251;253;253;249;247;244;246;249;249;0;28 023;5 668;33 691;13 139;20 552;52;23;4;16;11;242;13;18;48;28
Îles Anglo-Normandes;CHI;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;57;62;41;18;2;203;11;94;81;57
Chili;CHL;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;8882;8481;8292;8050;7647;7155;6654;6180;5735;5293;4811;4184;3645;3214;2906;2728;2656;2661;2698;2719;2673;2538;2363;2161;2021;1907;1801;1729;1663;1598;1505;1398;1321;1281;1247;1237;1244;1258;1275;1285;1288;1292;1287;1271;1255;1240;1209;1159;1100;1071;1045;1017;978;942;0;126 550;27 700;154 250;84 838;69 413;48;44;18;3;4;46;20;80;5;54
Chine;CHN;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;838628;676668;616190;575916;539097;504086;464319;428988;397700;373163;369798;327680;299252;272246;251705;229974;210550;193721;179792;165295;149072;134878;132677;115619;108209;92513;88352;81620;63320;54814;42559;35085;32256;0;5 414 755;3 630 987;9 045 742;4 975 158;4 070 584;28;69;35;20;27;109;1;54;69;13
Côte d'Ivoire;CIV;Nombre de décès néonataux;SH.DTH.NMRT;18494;18821;19204;19634;20052;20472;20913;21353;21773;22138;22478;22815;23057;23277;23383;23415;23458;23950;24149;24565;24898;25102;25285;25421;25512;25454;25387;25220;25301;26447;26982;27501;27991;28392;28688;29300;29606;30077;30626;30921;31144;31131;31041;30981;30698;30461;30173;29872;29611;29352;29194;28974;28503;28123;27789;27774;27735;27914;27489;27352;27281;27218;27025;0;981 512;666 835;1 648 347;642 855;1 005 492;52;44;73;9;27;315;29;69;4;1
Cameroun;CMR;Nombre de décès néonataux;SH.DTH.NMRT;16623;16720;16924;17160;17342;17520;17624;17638;17559;17429;17342;17336;17364;17558;17823;18200;18698;19190;19596;20011;20295;20732;20951;20422;20181;20094;20111;20100;20090;20204;20516;20940;21324;21657;21948;22111;22152;22145;22256;22432;22295;22211;22497;22998;23537;23946;24333;24698;25018;25336;25512;25561;25537;25602;25673;26070;26388;26444;26185;26000;25706;25475;25162;0;776 318;572 184;1 348 502;525 916;822 586;62;71;89;3;30;103;15;92;8;32
 République démocratique duCongo;COD;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62779;64376;65816;66784;67814;68745;70483;71873;73085;75576;81721;82784;81539;80949;82323;83910;85218;86765;88121;88846;89893;91414;92451;93467;94710;95534;97128;98514;99059;100204;100916;101606;103028;104143;104617;105203;105783;106318;0;1 096 647;2 216 848;3 313 495;1 457 938;1 855 557;53;31;4;5;22;344;3;25;100;66
 République duCongo;COG;Nombre de décès néonataux;SH.DTH.NMRT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2364;2374;2388;2414;2445;2481;2521;2574;2649;2743;2841;2972;3110;3257;3391;3452;3531;3543;3710;3711;3652;3658;3643;3659;3675;3749;3784;3937;3940;3924;3850;3770;3684;3597;3534;3464;3418;3350;3309;3256;0;47 507;83 817;131 324;57 783;73 541;66;0;9;5;50;203;6;8;8;55
Colombie;Nombre de décès néonataux;SH.DTH.NMRT;29240;29172;28986;28697;28379;27834;27261;26613;25875;25110;24361;23600;22904;22334;21852;21460;21139;20816;20479;20154;19685;19233;18764;18245;17826;17528;17159;16913;16700;16525;16231;15892;15486;15082;14628;14131;13627;13094;12588;12123;11652;11197;10765;10328;9888;9457;9026;8626;8237;7873;7541;7240;6960;6700;6451;6202;5967;5738;5555;5419;5237;5046;4839;0;0;800 138;164 292;964 430;424 349;540 081;59;9;26;10;43;214;10;4;4;9
Comores;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;970;999;1032;1060;1082;1101;1108;1107;1098;1083;1063;1040;1018;993;969;943;916;889;861;833;809;799;796;793;792;787;779;776;772;765;769;767;767;763;761;760;759;757;746;735;723;711;700;690;674;660;645;630;614;0;0;25 720;15 944;41 664;18 332;23 332;60;8;33;6;39;266;29;61;71;50
Cabo Verde;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;291;285;281;280;284;286;289;291;292;291;288;283;277;272;270;268;267;264;262;259;256;250;242;228;212;202;196;195;196;197;196;194;189;175;171;153;142;134;125;119;113;102;97;93;90;86;0;0;6 853;3 377;10 230;4 501;5 729;62;36;46;7;48;190;23;48;5;13
Costa Rica;Nombre de décès néonataux;SH.DTH.NMRT;1861;1908;1961;2023;2072;2096;2092;2054;1940;1862;1728;1572;1400;1253;1149;1075;1037;986;924;882;845;839;862;889;895;885;864;848;824;785;746;723;727;735;725;699;666;644;619;613;602;581;546;527;519;520;518;514;509;496;484;480;475;464;456;443;426;416;410;406;405;413;416;0;0;46 049;10 424;56 473;24 848;31 625;72;30;18;4;15;67;5;44;73;25
Petits états des Caraïbes;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1363;1319;1292;1258;1215;1187;1150;1118;1085;1049;1020;995;967;939;919;898;871;847;836;817;797;780;765;745;734;715;690;670;651;645;615;600;581;0;0;13 056;17 077;30 133;13 259;16 874;57;35;70;20;0;55;19;89;14;44
Cuba;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;5813;5470;5270;5149;4849;4257;3558;3025;2694;2354;2192;1957;1774;1826;1705;1585;1524;1483;1469;1448;1356;1265;1125;1039;966;885;809;711;695;648;619;579;547;530;486;429;385;344;339;361;373;361;360;333;323;312;315;304;311;337;346;364;376;396;0;0;70 099;8 232;78 331;17 233;61 098;54;1;82;9;22;229;7;60;56;54
Curacao;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;77;81;6;5;46;214;31;24;99;74
Îles Caïmans;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   ; -   ;52;51;3;9;29;273;2;81;1;54
Chypre;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91;88;91;81;74;67;61;55;50;45;42;39;36;34;33;31;30;28;27;27;25;23;23;22;22;22;23;23;23;24;25;25;25;0;0;745;590;1 335;294;1 041;63;82;24;4;50;39;40;31;17;41
République tchèque;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1369;1283;1186;1094;1041;1012;963;939;876;761;677;540;434;364;323;287;258;244;230;225;221;224;228;224;226;220;206;195;176;171;167;171;175;181;184;182;173;160;145;131;0;0;13 651;4 215;17 866;2 144;15 722;55;53;19;4;16;116;0;52;86;79
Allemagne;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;14888;13816;11984;10295;9178;8106;7274;6523;5794;5152;4684;4197;3819;3473;3217;3042;2938;2833;2808;2887;3053;2935;2776;2607;2430;2354;2377;2348;2228;2149;2101;1995;1919;1857;1828;1764;1705;1685;1637;1562;1562;1539;1559;1578;1645;1692;1791;1788;1772;1748;1714;1706;1682;0;0;154 266;37 728;191 994;23 039;168 955;67;6;88;20;25;263;2;25;8;60
Djibouti;Nombre de décès néonataux;SH.DTH.NMRT;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774;799;814;821;826;839;863;896;934;973;1043;1138;1182;1076;1087;1048;1027;1009;1025;1048;1063;1076;1086;1082;1051;1019;984;962;935;916;895;875;856;839;821;806;791;776;759;746;731;715;699;0;0;20 285;19 420;39 705;11 514;28 191;72;71;33;2;5;349;24;98;24;42
